rank,FFT_type,precision,x,y,z,px,py,backend,nodes,jit_time,min_time,max_time,mean_time,std_time,last_time
4,IFFT,float32,1024,1024,1024,1,8,NCCL,2,373.1736,175.3758,179.0138,176.5487,0.9568,176.1975
5,FFT,float32,1024,1024,1024,1,8,NCCL,2,945.1099,199.3091,323.2834,215.4532,36.1178,205.6149
5,IFFT,float32,1024,1024,1024,1,8,NCCL,2,371.6782,174.9644,178.9585,176.5491,0.9743,176.188
6,FFT,float32,1024,1024,1024,1,8,NCCL,2,914.3366,199.5788,322.725,215.3175,35.9489,205.1578
6,IFFT,float32,1024,1024,1024,1,8,NCCL,2,375.1847,175.3049,177.9384,176.6142,0.723,177.0652
7,FFT,float32,1024,1024,1024,1,8,NCCL,2,914.4855,199.3678,322.8947,215.2661,36.0307,205.1998
7,IFFT,float32,1024,1024,1024,1,8,NCCL,2,372.5236,175.4145,178.2004,176.6778,0.8245,177.1317
0,FFT,float32,1024,1024,1024,1,8,NCCL,2,858.9653,200.2015,322.7002,215.6181,35.8512,205.1546
0,IFFT,float32,1024,1024,1024,1,8,NCCL,2,374.4092,174.3481,177.8684,176.3351,0.817,176.5548
2,FFT,float32,1024,1024,1024,1,8,NCCL,2,860.3289,198.1696,319.074,215.0224,34.8601,205.0329
2,IFFT,float32,1024,1024,1024,1,8,NCCL,2,374.6545,174.3252,178.983,176.7337,1.4047,176.3581
3,FFT,float32,1024,1024,1024,1,8,NCCL,2,858.8947,197.9701,318.2304,214.8067,34.6583,204.4395
3,IFFT,float32,1024,1024,1024,1,8,NCCL,2,375.2658,174.8887,179.4789,176.8263,1.4869,176.2032
1,FFT,float32,1024,1024,1024,1,8,NCCL,2,858.6818,200.4486,320.5455,215.3735,35.2065,204.8113
1,IFFT,float32,1024,1024,1024,1,8,NCCL,2,374.4552,173.9297,178.4295,176.3853,1.0616,177.0837
1,FFT,float32,1024,1024,1024,8,1,NCCL,2,826.8286,172.3797,295.7846,187.4855,36.2195,174.3042
1,IFFT,float32,1024,1024,1024,8,1,NCCL,2,414.571,203.4338,211.956,207.0314,2.8128,204.9913
0,FFT,float32,1024,1024,1024,8,1,NCCL,2,784.1595,172.8139,296.0874,187.3451,36.3622,174.2384
0,IFFT,float32,1024,1024,1024,8,1,NCCL,2,414.802,203.5178,211.8564,207.2473,2.6251,205.5448
2,FFT,float32,1024,1024,1024,8,1,NCCL,2,800.4833,172.8579,295.4486,187.5856,36.0436,176.4089
2,IFFT,float32,1024,1024,1024,8,1,NCCL,2,414.737,203.1342,211.7757,207.0925,2.6721,206.2234
3,FFT,float32,1024,1024,1024,8,1,NCCL,2,840.38,173.3394,295.5195,187.879,35.9552,177.086
3,IFFT,float32,1024,1024,1024,8,1,NCCL,2,414.7956,203.3401,210.7233,206.8083,2.319,206.1901
5,FFT,float32,1024,1024,1024,8,1,NCCL,2,804.3217,172.1736,296.9408,187.5704,36.6085,173.205
5,IFFT,float32,1024,1024,1024,8,1,NCCL,2,414.6646,203.5482,211.7474,207.2021,2.6886,207.355
6,FFT,float32,1024,1024,1024,8,1,NCCL,2,785.6545,172.9875,296.3413,187.6558,36.3464,174.0734
6,IFFT,float32,1024,1024,1024,8,1,NCCL,2,385.7593,203.6932,211.0818,207.0667,2.3346,206.6741
7,FFT,float32,1024,1024,1024,8,1,NCCL,2,807.2534,173.0971,296.6633,187.7738,36.4148,173.7231
7,IFFT,float32,1024,1024,1024,8,1,NCCL,2,414.7561,203.7827,211.1971,206.9339,2.3547,206.7947
4,FFT,float32,1024,1024,1024,8,1,NCCL,2,882.502,172.3953,296.9195,187.6529,36.5702,173.7811
4,IFFT,float32,1024,1024,1024,8,1,NCCL,2,385.2092,203.5775,211.7474,207.1026,2.6905,206.727
5,FFT,float32,1024,1024,1024,4,2,NCCL,2,766.1503,376.5733,414.7725,406.8834,10.3686,408.0939
5,IFFT,float32,1024,1024,1024,4,2,NCCL,2,1452.0511,1067.1404,1091.3724,1078.8514,6.6376,1067.1404
0,FFT,float32,1024,1024,1024,4,2,NCCL,2,786.8146,373.8419,415.835,406.4742,11.2052,410.0776
0,IFFT,float32,1024,1024,1024,4,2,NCCL,2,1455.7156,1068.2777,1093.1522,1079.1678,6.4726,1068.2777
7,FFT,float32,1024,1024,1024,4,2,NCCL,2,800.3742,376.4412,412.0275,405.5346,9.9786,406.4536
7,IFFT,float32,1024,1024,1024,4,2,NCCL,2,1451.4034,1068.7603,1092.4829,1080.2084,6.9002,1068.7603
2,FFT,float32,1024,1024,1024,4,2,NCCL,2,785.228,374.8916,415.5612,406.6618,10.9361,409.9891
2,IFFT,float32,1024,1024,1024,4,2,NCCL,2,1454.9004,1068.5463,1093.2214,1079.0653,6.6013,1068.5463
1,FFT,float32,1024,1024,1024,4,2,NCCL,2,786.0327,196.1027,374.051,217.432,52.2958,196.7457
1,IFFT,float32,1024,1024,1024,4,2,NCCL,2,1661.8801,1270.1183,1300.724,1288.4387,8.5702,1270.1183
3,FFT,float32,1024,1024,1024,4,2,NCCL,2,785.2748,198.8836,375.2982,219.2981,52.0821,199.7373
3,IFFT,float32,1024,1024,1024,4,2,NCCL,2,1661.9422,1269.7486,1300.6753,1286.6234,8.0315,1269.7486
4,FFT,float32,1024,1024,1024,4,2,NCCL,2,766.3357,196.0809,376.0999,217.8454,52.8499,196.6874
4,IFFT,float32,1024,1024,1024,4,2,NCCL,2,1661.3665,1270.1982,1300.6452,1288.1436,8.6509,1270.1982
6,FFT,float32,1024,1024,1024,4,2,NCCL,2,758.4108,197.6402,375.9556,218.1513,52.6658,198.1645
6,IFFT,float32,1024,1024,1024,4,2,NCCL,2,1661.5006,1271.3112,1301.6595,1287.8187,8.0333,1271.3112
0,FFT,float64,1024,1024,1024,2,4,NCCL,2,1438.846,584.9578,1065.8523,960.4373,127.0137,996.7432
0,IFFT,float64,1024,1024,1024,2,4,NCCL,2,3031.5872,2646.5195,2666.3798,2656.797,6.3089,2654.5145
3,FFT,float64,1024,1024,1024,2,4,NCCL,2,1447.0076,380.8057,585.4739,411.5446,61.744,385.1407
3,IFFT,float64,1024,1024,1024,2,4,NCCL,2,3643.2354,3257.1696,3279.6479,3266.4365,7.9586,3261.1369
2,FFT,float64,1024,1024,1024,2,4,NCCL,2,1446.791,383.8128,585.9694,414.4631,60.8538,389.4875
2,IFFT,float64,1024,1024,1024,2,4,NCCL,2,3634.0931,3253.7434,3274.4583,3263.1526,7.909,3256.8689
6,FFT,float64,1024,1024,1024,2,4,NCCL,2,1473.5442,586.7597,1065.7608,960.8362,126.5367,996.8349
6,IFFT,float64,1024,1024,1024,2,4,NCCL,2,3030.7673,2646.4956,2665.667,2656.5067,6.1732,2654.2295
1,FFT,float64,1024,1024,1024,2,4,NCCL,2,1446.0362,585.4728,1065.8039,960.7499,126.9281,997.0452
1,IFFT,float64,1024,1024,1024,2,4,NCCL,2,3031.5019,2646.2912,2666.0755,2656.5278,6.2691,2654.046
7,FFT,float64,1024,1024,1024,2,4,NCCL,2,1474.2472,587.1061,1065.9824,960.8849,126.4497,996.807
7,IFFT,float64,1024,1024,1024,2,4,NCCL,2,3030.7281,2646.4757,2665.6864,2656.4783,6.1886,2654.2492
