function,precision,x,y,z,px,py,backend,nodes,jit_time,min_time,max_time,mean_time,std_div,last_time,generated_code,argument_size,output_size,temp_size,flops
IFFT,float64,1024,1024,1024,8,1,NCCL,2,461.4481,369.3181,376.2675,371.9532,2.157,371.6666,5352,2147483648,2147483648,4294967296,134217728.0
FFT,float64,1024,1024,1024,4,2,NCCL,2,1353.1631,391.0887,462.8505,399.8533,21.0271,392.2331,5480,1073741824,2147483648,4294967296,134217728.0
IFFT,float64,1024,1024,1024,4,2,NCCL,2,496.0038,406.7672,410.2059,408.8145,0.8965,409.6264,5352,2147483648,2147483648,4294967296,134217728.0
FFT,float32,256,256,256,4,8,NCCL,8,1056.7508,2.4618,81.4558,10.4354,23.6736,2.5052,4584,2097152,4194304,8388608,524287.0
IFFT,float32,256,256,256,4,8,NCCL,8,84.7581,2.5627,2.8624,2.6763,0.0744,2.7035,4968,4194304,4194304,8388608,524287.0
FFT,float32,256,256,256,8,4,NCCL,8,1133.1492,1.698,80.6825,10.0272,23.5535,1.9245,4584,2097152,4194304,8388608,524287.0
IFFT,float32,256,256,256,8,4,NCCL,8,92.6314,1.5801,1.941,1.7189,0.104,1.633,4968,4194304,4194304,8388608,524287.0
FFT,float32,256,256,256,1,32,NCCL,8,1153.2352,2.0408,83.2936,10.2442,24.3498,2.1892,4584,2097152,4194304,8388608,524287.0
IFFT,float32,256,256,256,1,32,NCCL,8,91.1839,2.0855,2.2572,2.1762,0.0425,2.2033,4968,4194304,4194304,8388608,524287.0
FFT,float32,256,256,256,32,1,NCCL,8,1062.622,2.0341,83.6087,10.5495,24.355,2.1406,4584,2097152,4194304,8388608,524287.0
IFFT,float32,256,256,256,32,1,NCCL,8,91.2336,1.9906,2.8398,2.3944,0.3069,2.1671,4968,4194304,4194304,8388608,524287.0
FFT,float32,512,512,512,4,8,NCCL,8,1078.9408,14.3985,92.3996,22.3886,23.3373,14.6966,5608,16777216,33554432,67108864,4194303.0
IFFT,float32,512,512,512,4,8,NCCL,8,124.7143,14.7942,16.9349,16.5327,0.5997,16.8798,5224,33554432,33554432,67108864,4194303.0
FFT,float32,512,512,512,8,4,NCCL,8,1067.5129,11.5592,92.753,20.1537,24.2012,12.4067,5608,16777216,33554432,67108864,4194303.0
IFFT,float32,512,512,512,8,4,NCCL,8,105.7099,10.5606,10.9783,10.7322,0.1045,10.9783,5224,33554432,33554432,67108864,4194303.0
FFT,float32,512,512,512,1,32,NCCL,8,1375.8122,11.3884,89.3293,19.4254,23.302,11.8866,5608,16777216,33554432,67108864,4194303.0
IFFT,float32,512,512,512,1,32,NCCL,8,104.6711,11.4573,12.1501,11.6537,0.1877,11.5338,5224,33554432,33554432,67108864,4194303.0
FFT,float32,512,512,512,32,1,NCCL,8,1120.2061,11.3928,89.5262,19.3758,23.3837,11.3928,5608,16777216,33554432,67108864,4194303.0
IFFT,float32,512,512,512,32,1,NCCL,8,103.8079,11.0601,12.0061,11.6124,0.2294,11.5959,5224,33554432,33554432,67108864,4194303.0
FFT,float32,1024,1024,1024,4,8,NCCL,8,1186.3484,118.1976,189.1164,125.7292,21.1307,118.4663,5224,134217728,268435456,536870912,33554432.0
IFFT,float32,1024,1024,1024,4,8,NCCL,8,206.6916,122.7381,131.2969,129.0122,2.2722,129.9221,5224,268435456,268435456,536870912,33554432.0
FFT,float32,1024,1024,1024,8,4,NCCL,8,1120.4525,95.7202,166.4214,103.4893,20.9802,96.5708,5224,134217728,268435456,536870912,33554432.0
IFFT,float32,1024,1024,1024,8,4,NCCL,8,175.2879,81.5065,82.5518,82.1066,0.3233,81.5065,5224,268435456,268435456,536870912,33554432.0
FFT,float32,1024,1024,1024,1,32,NCCL,8,1178.3271,93.0224,164.1321,101.6106,20.8529,95.0556,5224,134217728,268435456,536870912,33554432.0
IFFT,float32,1024,1024,1024,1,32,NCCL,8,179.505,92.599,96.2274,95.3247,1.1886,95.0174,5224,268435456,268435456,536870912,33554432.0
FFT,float32,1024,1024,1024,32,1,NCCL,8,1262.3616,92.286,166.4428,101.0698,21.809,93.7799,5224,134217728,268435456,536870912,33554432.0
IFFT,float32,1024,1024,1024,32,1,NCCL,8,183.8345,92.0602,96.0145,94.3513,1.0624,93.8961,5224,268435456,268435456,536870912,33554432.0
FFT,float32,2048,2048,2048,4,8,NCCL,8,1999.6798,920.5061,975.3845,928.338,15.743,920.5061,5224,1073741824,2147483648,4294967296,268435456.0
IFFT,float32,2048,2048,2048,4,8,NCCL,8,1006.3296,975.6978,996.0049,991.644,5.4948,993.6262,5224,2147483648,2147483648,4294967296,268435456.0
FFT,float32,2048,2048,2048,8,4,NCCL,8,1697.1913,762.699,809.6065,770.2554,13.3386,763.3041,5224,1073741824,2147483648,4294967296,268435456.0
IFFT,float32,2048,2048,2048,8,4,NCCL,8,731.4275,642.5671,687.7441,657.3864,15.1767,687.7441,5224,2147483648,2147483648,4294967296,268435456.0
FFT,float32,2048,2048,2048,1,32,NCCL,8,1887.5118,749.9512,884.8588,794.652,38.8507,767.5518,5224,1073741824,2147483648,4294967296,268435456.0
IFFT,float32,2048,2048,2048,1,32,NCCL,8,921.8736,738.7439,831.7999,784.2457,29.5203,764.2366,5224,2147483648,2147483648,4294967296,268435456.0
FFT,float32,2048,2048,2048,32,1,NCCL,8,1807.9996,782.3004,814.0488,793.9865,8.8311,786.916,5224,1073741824,2147483648,4294967296,268435456.0
IFFT,float32,2048,2048,2048,32,1,NCCL,8,871.8063,786.4029,810.399,800.6398,7.1915,810.399,5224,2147483648,2147483648,4294967296,268435456.0
FFT,float64,256,256,256,4,8,NCCL,8,1051.665,4.0527,88.4986,12.7028,25.2655,4.3482,4968,4194304,8388608,16777216,524287.0
IFFT,float64,256,256,256,4,8,NCCL,8,93.3553,4.1802,5.0903,4.7117,0.271,5.0128,5352,8388608,8388608,16777216,524287.0
FFT,float64,256,256,256,8,4,NCCL,8,1017.2575,3.1597,88.3712,11.7384,25.5443,3.2523,4968,4194304,8388608,16777216,524287.0
IFFT,float64,256,256,256,8,4,NCCL,8,96.432,2.9504,3.0296,2.9892,0.0277,2.992,5352,8388608,8388608,16777216,524287.0
FFT,float64,256,256,256,1,32,NCCL,8,1276.0174,3.3709,86.8385,11.9224,24.9724,3.6037,4968,4194304,8388608,16777216,524287.0
